window,group,pop_i,chunk_i,chunk_j,chunk_k,good_idx_n,i_success_n,j_success_n,ij_success_n,score_k_mean_ij,valid_score,mean_z_i_all,mean_z_j_all,mean_z_k_all,max_z_i_all,max_z_j_all,max_z_k_all,elapsed_sec,status,error,arrays_path
0,gamma000000,22,0,1,2,93,0,0,0,nan,False,-12.749666320366257,-16.886841560051963,-9.75869467891752,-12.749666320366257,-16.886841560051963,-9.75869467891752,1.2539570331573486,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_022/eval_arrays.npz
0,gamma000000,23,0,1,2,93,0,0,0,nan,False,-12.749666320366257,-16.886841560051963,-9.75869467891752,-12.749666320366257,-16.886841560051963,-9.75869467891752,1.6143255233764648,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_023/eval_arrays.npz
0,gamma000000,24,0,1,2,93,2,2,2,4.991113980637495,True,4.8454567489656295,6.424225085108185,4.991113980637495,4.993311802030046,6.600432873032763,5.062782468417257,1.4666495323181152,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_024/eval_arrays.npz
0,gamma000000,25,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.4552412033081055,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_025/eval_arrays.npz
0,gamma000000,26,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,3.067110300064087,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_026/eval_arrays.npz
0,gamma000000,27,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.502131700515747,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_027/eval_arrays.npz
0,gamma000000,28,0,1,2,93,1,1,1,3.844960508527532,True,4.442537677441247,4.293925697453411,3.844960508527532,4.442537677441247,4.293925697453411,3.844960508527532,1.4854891300201416,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_028/eval_arrays.npz
0,gamma000000,29,0,1,2,93,4,4,4,4.281683326123052,True,-2.2770318311780207,-13.427065227233692,-1.4471727246269517,5.103420031464735,6.321814858352392,5.080313257127159,1.7034862041473389,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma000000/pop_029/eval_arrays.npz
0,gamma095098,0,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.842069387435913,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_000/eval_arrays.npz
0,gamma095098,1,0,1,2,93,2,2,2,4.055466549916092,True,3.026802913330957,3.3173435591259186,2.935117632778022,5.003906415612826,5.975120454772244,5.500734876472609,2.9456756114959717,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_001/eval_arrays.npz
