window,group,n_populations,n_valid_scores,valid_score_frac,score_mean,score_median,score_std,i_success_mean,j_success_mean,ij_success_mean,mean_z_k_all_mean,status_complete_n,status_crashed_n
0,gamma000000,30,12,0.4,3.924476528843151,4.020522618985508,0.7138313939196714,0.8666666666666667,0.8666666666666667,0.8666666666666667,-2.8076486577107582,30,0
0,gamma095098,30,20,0.6666666666666666,4.52662980315546,4.380680372650616,0.6860566004922519,1.4333333333333333,1.4666666666666666,1.4333333333333333,2.71185250785953,30,0
0,null,30,9,0.3,4.164617866326502,4.153051267830106,0.9149981175136158,0.4666666666666667,0.4666666666666667,0.4666666666666667,2.1029137150309465,30,0
1,gamma000000,30,12,0.4,4.89559005243748,4.956913128441567,0.6091065246245118,1.5333333333333334,1.4,1.4,3.1197076097527363,30,0
1,gamma095098,30,11,0.36666666666666664,5.251878855255395,5.117218569051387,0.6854240769747253,0.7,0.6666666666666666,0.6666666666666666,1.2603532652892815,30,0
1,null,30,13,0.43333333333333335,5.220413536373035,5.022658751124109,0.6303049224404766,1.0666666666666667,1.0666666666666667,1.0666666666666667,4.342289808996314,30,0
2,gamma000000,30,0,0.0,nan,nan,nan,0.0,0.0,0.0,-1.3837605178604968,30,0
2,gamma095098,30,16,0.5333333333333333,5.332664183993716,5.477880207432991,0.7377386868581303,1.3,1.4333333333333333,1.3,2.2934091029859522,30,0
2,null,30,15,0.5,5.265446730678666,5.329600167080267,0.9887135042482935,0.9,1.0333333333333334,0.9,3.35777565908052,30,0
