time,pid,rss_gb,vms_gb,child_count,child_rss_gb,system_mem_percent,swap_percent,threads,fds,open_files,disk_free_gb,gpu_used_mb,gpu_total_mb,gpu_util_percent,tmp_files__tmp,tmp_gb__tmp,tmp_files_._tmp,tmp_gb_._tmp,tmp_files_._streamlit_tmp,tmp_gb_._streamlit_tmp
2026-05-08 13:05:24,18016,0.1594,0.8697,0,0.0,76.3,24.1,13,6,2,905.6391,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:05:29,18016,0.2634,1.7136,0,0.0,77.5,24.1,24,5,1,905.6391,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:05:34,18016,0.3527,1.8031,0,0.0,80.1,24.1,24,5,1,905.6391,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:05:39,18016,0.3588,1.8092,0,0.0,80.2,24.1,24,5,1,905.6391,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:05:45,18016,0.3641,1.8148,0,0.0,80.5,24.1,24,5,1,905.6391,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:05:50,18016,0.372,1.822,0,0.0,80.9,24.1,24,5,1,905.6391,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:05:55,18016,0.3006,1.8207,8,1.6344,75.6,24.1,15,27,1,905.6391,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:00,18016,0.3554,1.8772,0,0.0,75.7,24.1,14,11,4,905.6386,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:05,18016,0.4013,1.9282,0,0.0,77.1,24.1,14,10,3,905.6382,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:10,18016,0.5064,2.0341,0,0.0,80.1,24.0,14,10,3,905.6382,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:16,18016,0.5215,2.0497,0,0.0,80.5,24.0,14,10,3,905.6382,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:21,18016,0.5265,2.0546,0,0.0,80.8,24.0,14,10,3,905.6382,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:26,18016,0.457,1.9809,0,0.0,78.8,24.0,14,10,3,905.6379,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:31,18016,0.4946,2.0225,0,0.0,80.1,24.0,14,10,3,905.6372,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:36,18016,0.4876,2.0113,0,0.0,80.1,24.0,14,10,3,905.6371,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:42,18016,0.4542,1.9759,0,0.0,79.2,24.0,14,10,3,905.6361,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:47,18016,0.5892,2.1133,0,0.0,82.9,24.0,14,10,3,905.6361,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:52,18016,0.609,2.1338,0,0.0,83.5,24.0,14,10,3,905.6361,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:06:57,18016,0.6139,2.1386,0,0.0,83.6,24.0,14,10,3,905.6361,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:02,18016,0.6186,2.1426,0,0.0,83.8,24.0,14,10,3,905.6361,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:08,18016,0.6237,2.1484,0,0.0,83.9,24.0,14,10,3,905.6361,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
